"%s: Bad command line argument(s)\n";"%s: Yanlış komut satırı parametresi\n"
"Weaving Girl";"Dokumacı kız"
"Well";"Kuyu"
"Western";"Batı"
"Western (color)";""
"Western (modern)";""
"Western Door";"Batı Kapısı"
"Wezen";""
"Willow";"Söğüt"
"Wings";"Kanatlar"
"Winnowing Basket";"Harman Eleği"
"Wolf's Mouth";""
"Woman's Bed";"Kadının Yatağı"
"Woman's Cart";""
"Year";"Yıl"
"Yed Posterior";""
"Yed Prior";""
"Yes";"Evet"
"Yildun";""
"Zaniah";""
"Zaurak";""
"Zavijava";""
"Zibal";""
"Zoom Duration: ";"Büyütme Süresi: "
"Zoom In";""
"Zoom Offset: ";""
"Zoom Out";""
"Zoom out (planet and satellites views)";""
"Zoom to selected object";""
"Zosma";""
"Zubenelgenubi";""
"Zubeneschamali";""
"change to apply.";"değişiklik uygulanıyor."
"kly";""
"ly";""
