"%s: Bad command line argument(s)\n";"%s: Argumento(s) da linha de comandos incorrecto(s)\n"
"Lens at Dome Center";""
"Leo";"Leo (Leão)"
"Leo Minor";"Leo Minor (Leão Menor)"
"Lepus";"Lepus (Lebre)"
"Lesath";""
"Libra";"Libra (Balança)"
"Light Pollution Limiting Magnitude: ";""
"Limiting Magnitude: ";""
"Line Width: ";""
"Lion";"Leão"
"Little Ghost Nebula";""
"Lizard";""
"Load Default Configuration";""
"Load Default Configuration: ";"Carregar Configuração Padrão: "
"Loading NGC catalog: ";"A carregar o catálogo NGC: "
"Loading Nebula Textures:";"A carregar Texturas das Nebulosas:"
"Loading Solar System:";"Corpo do Sistema Solar: "
"Loading catalog ";"A carregar o catálogo NGC: "
"Local Script: ";"Script Local: "
"Location";"Localização"
"Lubhdak";""
"Lupus";"Lupus (Lobo)"
"Luyten's Star";""
"Lynx";"Lynx (Lince)"
"Lyra";"Lyra (Lira)"
"Lysithea";""
"M104 Sombrero Galaxy";""
"M31";""
"M42/M43";""
"M45";""
"M64 Black Eye Galaxy";""
"MAY";"MAI"
"Maasym";""
"Mab";""
"Magha";""
"Magnitude Scaling Multiplier: ";""
"Maia";""
"Mama Llama";""
"Man with Feet Apart";""
"Man's Cart";""
"Manual zoom: ";"Zoom Manual: "
"Marfik";""
"Margaret";""
"Marichi";""
"Markab";""
"Market";"Mercado"
"Market Officer";"Funcionário do Mercado"
"Mars";"Marte"
"Marsic";""
"Matar";""
"Maui's Fishhook";"O Anzol de Maui"
"Mausoleum";"Mausoléu"
"Maximum Magnitude to Label: ";"Magnitude Máxima da Etiqueta "
"Maximum Nebula Magnitude to Label: ";"Magnitude Máxima das Nebulosas na Etiqueta: "
"Meadows";"Prados"
"Mebsuta";""
"Megrez";""
"Meissa";""
"Mekbuda";""
"Menkalinan";""
"Menkar";""
"Menkent";""
"Menkib";""
"Mensa";"Mensa (Mesa)"
"Merak";""
"Mercury";"Mercúrio"
"Merga";""
"Merging Galaxies";""
"Meridian";""
"Meridian Line";""
"Merope";""
"Mesarthim";""
"Meteor Rate per minute";"Taxa de Meteoros por minuto"
"Metis";""
"Miaplacidus";""
"Microscopium";"Microscopium (Microscópio)"
"Milky Way intensity: ";"Intensidade da Via Láctea: "
"Mimosa";""
"Mintaka";""
"Minutes";"Minutos"
"Mira";""
"Mirach";""
"Miranda";""
"Mirphak";""
"Mirzam";""
"Miscellaneous:";""
"Mizar";""
"Mly";""
"Mole_Honua";""
"Monoceros";"Monoceros (Unicórnio)"
"Month";"Mês"
"Moon";"Lua"
"Moon Scale";"Escala Lunar"
"Moons";""
"Morning Star";""
"Mortar";"Almofariz"
"Mothallah";""
"Movement and Selection:";""
"Mrgsirsa";""
"Mrigsirsa";""
"Mula";""
"Muliphein";""
"Muphrid";""
"Musca";"Musca (Mosca)"
"Muscida";""
"NGC1275 PerseusA";""
"NGC253";""
"Naiad";""
"Nana-hope";""
"Nana-mua";""
"Naos";""
"Nashira";""
"Navajo";""
"Navigator's Triangle";"Triângulo do Navegador"
"Nebula Circles";""
"Nebula Labels";""
"Nebula Labels. Up to mag :";""
"Neck";"Pescoço"
"Nekkar";""
"Neptune";"Neptuno"
"Neried";""
"Neso";""
"Net";"Rede"
"Nihal";""
"No";"Não"
"Norma";"Norma (Régua)"
"Norse";""
"North River";"Rio do Norte"
"Northern Dipper";"Estrela do Norte"
"Nunki";""
"Nusakan";""
"OCT";"OUT"
"OK";"Aceitar"
"Oberon";""
"Object Search";"Procurar Objecto"
"Object Sizing Rule: ";"Regular Tamanho do Objecto: "
"Octans";"Octans (Octante)"
"Omega Centauri";""
"Ophelia";""
"Ophiuchus";"Ophiuchus (Serpentário)"
"Orchard";"Pomar"
"Orion";"Orion (Orionte)"
"Outer Fence";"Vedação Exterior"
"Ox";"Boi"
"Pack of Dogs";""
"Page Down";""
"Page Up";""
"Pair of Stars";"Par de Estrelas"
"Palace Gate";"Portão do Palácio"
"Pan View";""
"Pasiphae";""
"Password must be more than 3 characters";""
"Password updated successfully";""
"Passwords do not match";""
"Pause Script";""
"Pause Time";""
"Pavo";"Pavo (Pavão)"
"Peacock";""
"Pegasus";"Pegasus (Pégaso)"
"Pencil Nebula";""
"Perdita";""
"Perseus";"Perseus (Perseu)"
"Pestle";"Pilão"
"Phact";""
"Phad";""
"Pherkad";""
"Phobos";"Fobos"
"Phoenix";"Phoenix (Fénix)"
"Pictor";"Pictor (Pintor)"
"Pisces";"Pisces (Peixes)"
"Piscis Austrinus";"Piscis Austrinus (Peixe Austral)"
"Planet Size Marginal Limit: ";""
"Planetary Nebula Aquila";""
"Planets";"Planetas"
"Planets: ";"Planetas"
"Play demo script";""
"Pleione";""
"Pluto";"Plutão"
"Point";"Apontar"
"Polaris";""
"Pollux";""
"Polynesian";""
"Porrima";""
"Portia";""
"Prajapati";""
"Precession Circle";""
"Preset Sky Time: ";"Pre-definir o Tempo Estelar: "
"Preset Time";""
"Procyon";""
"Program Language: ";"Língua do programa: "
"Projection :";"Projecção :"
"Projection Configuration: ";""
"Projector Offset (percent of dome radius): ";""
"Propus";""
"Prospero";""
"Proteus";""
"Prow";"Proa"
