"%s: Bad command line argument(s)\n";"%s: 명령어의 인자값이 잘못되었습니다.\n"
"Wall";"동벽"
"Wasat";""
"Waty Bekety";"와티 베케티"
"Wazn";""
"Weaving Girl";"직녀"
"Well";"정"
"Western";"서양"
"Western (color)";""
"Western (modern)";""
"Western Door";"서함"
"Wezen";""
"Willow";"류"
"Wings";"익"
"Winnowing Basket";"키"
"Wolf's Mouth";""
"Woman's Bed";"천기"
"Woman's Cart";""
"Xuanyuan";"헌원"
"Year";"년"
"Yed Posterior";""
"Yed Prior";""
"Yes";"예"
"Yildun";""
"Zaniah";""
"Zaofu";"조보"
"Zaurak";""
"Zavijava";""
"Zibal";""
"Zoom Duration: ";"확대 지속: "
"Zoom In";""
"Zoom Offset: ";""
"Zoom Out";""
"Zoom out (planet and satellites views)";""
"Zoom to selected object";""
"Zosma";""
"Zubenelgenubi";""
"Zubeneschamali";""
"change to apply.";"프로그램을 다시 시작해야 합니다."
"kly";""
"ly";""
