"%s: Bad command line argument(s)\n";"%s: Foutieve parameter(s) voor opdrachtregel\n"
"Real Time Rate";""
"Recording commands to script file:\n";"Registreren van opdrachten in scriptbestand:\n"
"Red Rectangle";""
"Reflection Nebula Orion";""
"Regor";""
"Regulus";""
"Replay Last Script";""
"Reset Password: ";""
"Restart program for";"Herstart programma om"
"Resume Script";""
"Reticulum";"Net"
"Retina Nebula";""
"Return to Current Time";"Terug naar huidige tijd"
"Revati";""
"Revolving Female";""
"Revolving Male";""
"Rigel";""
"Right Click";""
"Right Flag";"Rechtervlag"
"Rigil Kent";""
"Ring Nebula";""
"River Turtle";"Rivierschildpad"
"Rohini";""
"Rolled Tongue";"Gerolde Tong"
"Rooftop";"Nok"
"Room";"Kamer"
"Root";"Wortel"
"Rosalind";""
"Rosetta Nebula";""
"Rotanev";""
"Rotten Gourd";"Slechte Kalebas"
"Ruchbah";""
"Rukbat";""
"Runners";""
"S";"Z"
"SN Remnant HH30";""
"Sabik";""
"Sadachbia";""
"Sadalbari";""
"Sadalmelik";""
"Sadalsuud";""
"Sadr";""
"Sagitta";"Pijl"
"Sagittarius";"Boogschutter"
"Saiph";""
"Salamander";""
"Sami";""
"Sao";""
"Sapt Rishi";""
"Sarva the Elk";""
"Satbhisaj";""
"Satellite Orbits";""
"Saturn";"Saturnus"
"Save Current Configuration as Default: ";"Huidige configuratie als standaard opslaan: "
"Save as default";"Opslaan als standaardinstelling"
"Save location";"Positie opslaan"
"Scorpius";"Schorpioen"
"Screen";"Scherm"
"Screen Resolution :";"Schermresolutie :"
"Script Command";""
"Sculptor";"Beeldhouwer"
"Scutum";"Schild"
"Search for (eg. Saturn, Polaris, HP6218, Orion, M31):";"Zoeken naar (bvb. Saturnus, Polaris, HP6318, Orion, M31):"
"Search for Object";""
"Seconds";"Seconden"
"Seginus";""
"Select Object";""
"Select and exit to run.";"Selecteer en sluit om af te spelen."
"Selected : ";"Selectie : "
"Selected Constellation Only";"Enkel het geselecteerde sterrenbeeld"
"Serpens";"Slang"
"Set Location ";"Instellen locatie "
"Set Time ";"Instellen tijd "
"Set Time Zone: ";"Instellen tijdzone: "
"Set UI Locale: ";"Selecteer UI locale: "
"Setebos";""
"Seven Excellencies";"Zeven Excellenties"
"Seven Little Girls";""
"Sextans";"Sextant"
"Sham";""
"Shaula";""
"Sheat";""
"Shedir";""
"Sheep";"Schaap"
"Sheepfold";"Schaapskooi"
"Sheliak";""
"Sheratan";""
"Show: ";"Toon: "
