"%s: Bad command line argument(s)\n";"%s: Nesprávne argumenty príkazu\n"
"Mira";""
"Mirach";""
"Mirphak";""
"Mirzam";""
"Miscellaneous:";"Rôzne:"
"Mizar";""
"Mly";""
"Mole_Honua";""
"Monoceros";"Jednorožec"
"Month";"mesiac"
"Moon";"Mesiac"
"Moon Scale";"Mesačná škála"
"Moons";""
"Mooring Post";"Prístavište"
"Morning Star";"Ranná hviezda"
"Mortar";"Mažiar"
"Mothallah";""
"Movement and Selection:";""
"Mrgsirsa";""
"Mrigsirsa";""
"Mula";""
"Muliphein";""
"Muphrid";""
"Musca";"Mucha"
"Muscida";""
"N";"Sever"
"NGC1275 PerseusA";""
"Naiad";""
"Nana-hope";""
"Nana-mua";""
"Naos";""
"Nashira";""
"Navajo";""
"Navigator's Triangle";"Trojuholník navigátora"
"Nebula Circles";"Kruhy hmlovín"
"Nebula Labels";""
"Nebula Labels. Up to mag :";""
"Neck";"Krk"
"Nekkar";""
"Neptune";"Neptún"
"Neried";""
"Neso";""
"Net";"Sieť"
"Nihal";""
"No";"Nie"
"Norma";"Pravítko"
"Norse";""
"North River";"Severná rieka"
"Northern Dipper";"Severná potápka"
"Nunki";""
"Nusakan";""
"OCT";"OKT"
"OK";"Potvrdiť"
"Object Search";"Hľadanie Objektu"
"Object Sizing Rule: ";"Pravidlo pre zmenu veľkosti objektu: "
"Octans";"Oktant"
"Ophelia";""
"Ophiuchus";"Hadonos"
"Orchard";"Ovocný sad"
"Orion";"Orión"
"Outer Fence";"Vonkajší plot"
"Ox";"Vôl"
"Pack of Dogs";"Svorka psov"
"Page Down";""
"Page Up";""
"Pair of Stars";"Pár hviezd"
"Palace Gate";"Palácová brána"
"Pan View";""
"Pasiphae";""
"Password must be more than 3 characters";""
"Password updated successfully";""
"Passwords do not match";""
"Pause Script";""
"Pause Time";""
"Pavo";"Páv"
"Peacock";""
"Pegasus";"Pegas"
"Pencil Nebula";""
"Perdita";""
"Perseus";"Perzeus"
"Pestle";"Tĺčik"
"Phact";""
"Phad";""
"Pherkad";""
"Phobos";"Fobos"
"Phoenix";"Fénix"
"Pictor";"Maliar"
"Pisces";"Ryby"
"Piscis Austrinus";"Južná ryba"
"Planet Size Marginal Limit: ";""
"Planetary Nebula Aquila";"Planetárna hmlovina Aquila"
"Planets";"Planéty"
"Planets: ";"Planéty"
"Play demo script";""
"Pleione";""
"Point";"Bod"
"Polaris";""
"Pollux";""
"Polynesian";"Polynézska"
"Porrima";""
"Portia";""
"Prajapati";""
"Precession Circle";""
"Preset Sky Time: ";"Prednastavený čas oblohy: "
"Preset Time";"Prednastaviť čas"
"Procyon";""
"Program Language: ";"Jazyk programu: "
"Projection :";"Projekcia"
"Projection Configuration: ";"Konfiguracia projekcie: "
"Projector Offset (percent of dome radius): ";""
"Propus";""
"Prospero";""
"Prow";"Prova"
"Proxima";""
"Psamathe";""
"Pu'uhonua";""
"Puana";""
"Puana-kau";""
"Puck";""
"Pulaha";""
"Pulastya";""
"Punarsvasu-2";""
"Punarvasu";""
"Punarvasu-1";""
"Punarvasu-2";""
"Puppis";"Korma"
"Purple Palace";"Purpurový palác"
"Purva Bhadrapad-1";""
"Purva Bhadrapad-2";""
"Purvabhadrapad";""
"Purvaphalguni";""
"Purvaphalguni-1";""
"Purvaphalguni-2";""
"Purvasadha-1";""
"Purvasdha";""
"Pushya";""
"Pyxis";"Kompas"
"Quail";"Chvost"
"Quit";""
"Quit [CMD + Q]";"Skončiť [PRÍKAZ + Q]"
"Quit [CTRL + Q]";"Skončiť [CTRL + Q]"
"RA/DE: ";"Rekt./Dekl.: "
"Rabbit Tracks";"Stopy králika"
"Race Track";"Závodisko"
"Ramparts";"Hradby"
"Rasalas";""
"Rasalgethi";""
"Rasalhague";""
"Rastaban";""
"Re-enter password: ";""
"Real Time Rate";""
"Recording commands to script file:\n";"Zaznamenávam príkazy do skriptovacieho súboru.\n"
"Red Rectangle";""
"Reflection Nebula Orion";""
"Regor";""
"Regulus";""
"Rendering";"Vykresľovanie"
"Replay Last Script";""
"Reset Password: ";""
"Restart program for";"Reštartuj program,"
"Resume Script";""
"Reticulum";"Sieť"
"Retina Nebula";""
"Return to Current Time";"Nastaviť súčasný čas [8]"
"Revati";""
"Revolving Female";"Otáčajúca sa žena"
"Revolving Male";"Otáčajúci sa muž"
"Rigel";""
"Right Click";""
"Right Flag";"Pravá vlajka"
"Rigil Kent";""
"Ring Nebula";"Prstencová Hmlovina"
"River Turtle";"Riečna korytnačka"
"Rohini";""
"Rolled Tongue";"Zrolovaný jazyk"
"Rooftop";"Strecha"
"Room";"Izba"
"Root";"Koreň"
"Rosalind";""
"Rosetta Nebula";""
"Rotanev";""
"Rotten Gourd";"Zhnitá tekvica"
"Ruchbah";""
"Rukbat";""
"Runners";"Bežci"
"S";"Juh"
"SN Remnant HH30";""
"Sabik";""
"Sadachbia";""
"Sadalbari";""
"Sadalmelik";""
"Sadalsuud";""
"Sadr";""
"Sagitta";"Šíp"
"Sagittarius";"Strelec"
"Saiph";""
"Sami";""
"Sao";""
"Sapt Rishi";""
"Sarva the Elk";""
"Satbhisaj";""
"Satellite Orbits";"Obežné dráhy satelitov"
"Save Current Configuration as Default: ";"Ulož aktuálne nastavenie ako štandardné: "
"Save as default";"Nastaviť ako predvolené"
"Save location";"Uložiť miesto"
"Scorpius";"Škorpión"
"Screen";"Obrazovka"
"Screen Resolution :";"Rozlíšenie obrazovky :"
"Script Command";""
"Script commander";"Skriptovací commander"
"Scripts ";"Skripty "
"Sculptor";"Sochár"
"Scutum";"Štít"
