"%s: Bad command line argument(s)\n";"%s: Kļūdains komandrindas arguments(ti)\n"
"Lamp Stand";""
"Lance";"Pīķis"
"Landscape: ";"Ainava: "
"Landscapes";"Ainavas"
"Language";"Valoda"
"Laomedeia";""
"Larissa";"Kuģa Ķīlis"
"Latitude : ";"Ģeog.plat.: "
"Latitude: ";"Ģeog.plat.: "
"Leda";""
"Left Click";"Kreisais Karogs"
"Left Flag";"Kreisais Karogs"
"Legs";"Kājas"
"Lehua-Kona";""
"Lens Below Dome Center";""
"Lens at Dome Center";""
"Leo";"Lauva"
"Leo Minor";"Mazais Lauva"
"Lepus";"Zaķis"
"Lesath";"Kājas"
"Libra";"Svari"
"Light Pollution Limiting Magnitude: ";"Zvaigžņlielums: "
"Limiting Magnitude: ";"Zvaigžņlielums: "
"Line Width: ";""
"Lion";"Lauva"
"Little Ghost Nebula";""
"Lizard";"Putns"
"Load Default Configuration";"Ielādēt noklusējuma konfigurāciju: "
"Load Default Configuration: ";"Ielādēt noklusējuma konfigurāciju: "
"Loading NGC catalog: ";"Ielādē NGC katalogu: "
"Loading Nebula Textures:";"Ielādē miglāju tekstūras:"
"Loading Solar System:";"Saules sistēmas objekts: "
"Loading catalog ";"Ielādē NGC katalogu: "
"Local Script: ";"Lokālais skripts: "
"Location";"Vieta"
"Longitude : ";"Ģeog.gar.: "
"Longitude: ";"Ģeog.gar.: "
"Lubhdak";""
"Lupus";"Vilks"
"Luyten's Star";""
"Lynx";"Lūsis"
"Lyra";"Lira"
"Lysithea";""
"M1";""
"M10";""
"M100";""
"M101";""
"M104 Sombrero Galaxy";""
"M105";""
"M106";""
"M108";""
"M109";""
"M11";""
"M12";""
"M13";""
"M15";""
"M16";""
"M17";""
"M2";""
"M20";""
"M22";""
"M27";""
"M3";""
"M31";""
"M33";""
"M34";""
"M36";""
"M37";""
"M38";""
"M4";""
"M42/M43";""
"M44";""
"M45";""
"M46";""
"M49";""
"M5";""
"M51";""
"M53";""
"M54";""
"M58";""
"M59";""
"M6";""
"M60";""
"M61";""
"M63";""
"M64 Black Eye Galaxy";""
"M65";""
"M66";""
"M7";""
"M74";""
"M76";""
"M78";""
"M8";""
"M81";""
"M82";""
"M83";""
"M84";""
"M85";""
"M86";""
"M87";""
"M89";""
"M9";""
"M90";""
"M91";""
"M92";""
"M94";""
"M95";""
"M96";""
"M97";""
"M98";""
"M99";""
"MAR";""
"MAY";""
"Maasym";"Marss"
"Mab";""
"Magha";""
"Magnitude";"Zvaigžņlieluma"
"Magnitude Scaling Multiplier: ";"Zvaigžņlieluma mērogošanas reizinātājs: "
"Magnitude: ";"Zvaigžņlielums: "
"Maia";"Mimass"
"Mama Llama";""
"Man with Feet Apart";""
"Man's Cart";"Sievietes Gulta"
"Manual zoom: ";"Manuālā tuvināšana: "
"Marfik";"Tirgus"
"Margaret";"Tirgus"
"Marichi";""
"Markab";"Tirgus"
"Market";"Tirgus"
"Market Officer";"Tirgus Virsnieks"
"Mars";"Marss"
"Marsic";"Marss"
"Matar";"Java"
"Maui's Fishhook";"Maui Makšķerāķis"
"Mausoleum";"Mauzalejs"
"Maximum Magnitude to Label: ";"Nosaukumi līdz zvaigžņlielumam: "
"Maximum Nebula Magnitude to Label: ";"Nosaukt miglājus līdz zvaigžņliel.: "
"Meadows";"Ganības"
"Mebsuta";"Galds"
"Megrez";""
"Meissa";"Galds"
"Mekbuda";""
"Menkalinan";""
"Menkar";"Galds"
"Menkent";"Tirgus"
"Menkib";""
"Mensa";"Galds"
"Merak";"Galds"
"Mercury";"Merkurs"
"Merga";"Galds"
"Merging Galaxies";""
"Meridian";"Meridiāna līnija"
"Meridian Line";"Meridiāna līnija"
"Merope";"Čūska"
"Mesarthim";""
"Meteor Rate per minute";"Meteoru daudzums minūtē"
"Metis";"Mimass"
"Miaplacidus";""
"Microscopium";"Mikroskops"
"Milky Way intensity: ";"Piena Ceļa intensitāte: "
"Mimas";"Mimass"
"Mimosa";"Mimass"
"Mintaka";""
"Minutes";"Minūtes"
"Mira";"Mimass"
"Mirach";""
"Miranda";""
"Mirphak";""
"Mirzam";""
"Miscellaneous:";""
"Mizar";"Marss"
"Mly";""
"Mole_Honua";""
"Monoceros";"Vienradzis"
"Month";"Mēn."
"Moon";"Mēness"
"Moon Scale";"Rādīt Mēnesi redzamajā izmērā"
"Moons";"Mēness"
"Mooring Post";"Enkura Vieta"
"Morning Star";"Enkura Vieta"
"Mortar";"Java"
"Mothallah";""
"Movement and Selection:";""
"Mrgsirsa";""
"Mrigsirsa";""
"Mula";"Muša"
"Muliphein";"Delfīns"
"Muphrid";""
"Musca";"Muša"
"Muscida";"Muša"
"N";"Z"
"NGC1275 PerseusA";"Persejs"
"NGC253";""
"NGC6946";""
"NOV";""
"Naiad";""
"Nana-hope";""
"Nana-mua";""
"Naos";"Nē"
"Nashira";""
"Navajo";"Pāvs"
"Navigator's Triangle";"Stūrmaņa Trijstūris"
"Nebula Circles";"Nebulu Apļi"
"Nebula Labels";"Nebulu Nosaukumi"
"Nebula Labels. Up to mag :";"Miglāju nosauk. līdz zvaigžņl.:"
"Neck";"Kakls"
"Nekkar";"Kakls"
"Neptune";"Neptūns"
"Neried";""
"Neso";"Nē"
"Net";"Tīkls"
"Nihal";""
"No";"Nē"
"Norma";"Leņķmērs"
"Norse";"Leņķmērs"
"North River";"Ziemeļu Upe"
"Northern Dipper";"Ziemeļu Kauss"
"Nunki";""
"Nusakan";""
"OCT";""
"Oberon";"Orions"
"Object Search";"Objektu meklēšana"
"Object Sizing Rule: ";"Objekta izmēri pēc: "
"Octans";"Oktants"
"Omega Centauri";"Kentaurs"
"Ophelia";""
"Ophiuchus";"Čūsknesis"
"Orchard";"Augļudārzs"
"Orion";"Orions"
"Outer Fence";"Ārējais Žogs"
"Ox";"Vērsis"
"Pack of Dogs";""
"Page Down";""
"Page Up";""
"Pair of Stars";"Zvaigžņu Pāris"
"Palace Gate";"Pils Vārti"
"Pan View";""
"Pasiphae";""
"Password must be more than 3 characters";""
"Password updated successfully";""
"Passwords do not match";""
"Pause Script";"Lokālais skripts: "
"Pause Time";"Iestatītais Laiks"
"Pavo";"Pāvs"
"Peacock";""
"Pegasus";"Pegazs"
"Pencil Nebula";""
"Perdita";""
"Perseus";"Persejs"
"Pestle";"Piesta"
"Phact";""
"Phad";""
"Pherkad";""
"Phobos";"Foboss"
"Phoenix";"Fenikss"
"Pictor";"Gleznotājs"
"Pisces";"Zivis"
"Piscis Austrinus";"Dienvidu Zivs"
"Planet Size Marginal Limit: ";""
"Planetary Nebula Aquila";""
"Planets";"Planētas"
"Planets: ";"Planētas"
"Play demo script";"CTRL + Q : Beigt\n"
"Pleione";"Diona"
"Pluto";"Plutons"
"Point";"Punkta"
"Polaris";"Lidojošā Zivs"
"Pollux";""
"Polynesian";"Polinēziešu"
"Porrima";"Leņķmērs"
"Portia";"Java"
"Prajapati";""
"Precession Circle";""
"Preset Sky Time: ";"Šobrīdējais debess laiks: "
"Preset Time";"Iestatītais Laiks"
"Procyon";"Projekcija :"
"Program Language: ";"Programmas valoda: "
"Projection :";"Projekcija :"
"Projection Configuration: ";"Ielādēt noklusējuma konfigurāciju: "
"Projector Offset (percent of dome radius): ";""
"Propus";"Persejs"
"Prospero";""
"Proteus";"Persejs"
"Prow";"Kuģa Gals"
"Proxima";""
"Psamathe";""
"Pu'uhonua";""
"Puana";"Tukans"
"Puana-kau";""
"Puck";""
"Pulaha";""
"Pulastya";""
"Punarsvasu-2";""
"Punarvasu";""
"Punarvasu-1";""
"Punarvasu-2";""
"Puppis";"Kuģa Gals"
"Purple Palace";"Purpurkrāsas Pils"
"Purva Bhadrapad-1";""
"Purva Bhadrapad-2";""
"Purvabhadrapad";""
"Purvaphalguni";""
"Purvaphalguni-1";""
"Purvaphalguni-2";""
"Purvasadha-1";""
"Purvasdha";""
"Pushya";""
"Pyxis";"Kompass"
"Quail";"Aste"
"Quit";"Indiānis"
"Quit [CMD + Q]";"Beigt [CMD + Q]"
"Quit [CTRL + Q]";"Beigt [CTRL + Q]"
"Rabbit Tracks";""
"Race Track";""
"Ramparts";"Vaļņi"
"Rasalas";""
"Rasalgethi";""
"Rasalhague";""
"Rastaban";""
"Re-enter password: ";""
"Real Time Rate";"Normāls laika ātrums [K]"
"Recording commands to script file:\n";"Komandas tiek ierakstītas skripta failā:\n"
"Red Rectangle";""
"Reflection Nebula Orion";""
"Regor";""
"Regulus";"Tīkliņš"
"Rendering";"Izzīmēšana"
"Replay Last Script";""
"Reset Password: ";""
"Restart program for";"Lai izmaiņas stātos spēkā"
"Resume Script";""
"Reticulum";"Tīkliņš"
"Retina Nebula";""
"Return to Current Time";"Atgriezties šobrīdējā laikā"
"Revati";"Reja"
"Revolving Female";""
"Revolving Male";""
"Rhea";"Reja"
"Rigel";""
"Right Click";"Labais Karogs"
"Right Flag";"Labais Karogs"
"Rigil Kent";""
"Ring Nebula";""
"River Turtle";"Upes Bruņurupucis"
"Rohini";"Delfīns"
"Rolled Tongue";"Sarullēta Mēle"
"Rooftop";"Jumta Kore"
"Room";"Istaba"
"Root";"Sakne"
"Rosalind";""
"Rosetta Nebula";""
"Rotanev";""
"Rotten Gourd";"Spuvušais Ķirbis"
"Ruchbah";""
"Rukbat";""
"Runners";""
"S";"D"
"SEP";""
"SN Remnant HH30";""
"Sabik";""
"Sadachbia";""
"Sadalbari";""
"Sadalmelik";""
"Sadalsuud";""
"Sadr";"Zvaigzne"
"Sagitta";"Bulta"
"Sagittarius";"Strēlnieks"
"Sah";"Sahs"
"Saiph";"Sahs"
"Salamander";""
"Sami";""
"Sao";"Sahs"
"Sapt Rishi";""
"Sarva the Elk";""
"Satbhisaj";""
"Satellite Orbits";"Planētu orbītas"
"Saturn";"Saturns"
"Save Current Configuration as Default: ";"Saglabāt šo konfigurāciju kā noklusējuma: "
"Save as default";"Saglabāt kā noklusējumu"
"Save location";"Saglabāt vietu"
"Scorpius";"Skorpions"
"Screen";"Aizslietnis"
"Screen Resolution :";"Ekrāna izšķirtspēja :"
"Script Command";"Skriptu pavēlnieks"
"Script commander";"Skriptu pavēlnieks"
"Scripts ";"Skripti "
"Sculptor";"Tēlnieks"
"Scutum";"Vairogs"
"Search for (eg. Saturn, Polaris, HP6218, Orion, M31):";"Meklēt (piem. Saturns, Polaris, HP6218, Orions, M31):"
"Search for Object";"Meklēt objektu"
"Seconds";"Sekundes"
"Seginus";"Venera"
"Sek";"Seks"
"Select Object";"Meklēt objektu"
"Select and exit to run.";"Izvēlieties un izejiet lai palaistu."
"Selected : ";"Izvēlēts : "
"Selected Constellation Only";"Tikai izvēlētajiem zvaigznājiem"
"Selkis";"Selkisa"
"Serpens";"Čūska"
"Set Location ";"Iestatīt vietu "
"Set Time ";"Iestatīt laiku "
"Set Time Zone: ";"Iestatīt laika zonu: "
"Set UI Locale: ";"Iestādīt lokalizāciju: "
"Setebos";""
"Seven Excellencies";"Septiņi Augstmaņi"
"Seven Little Girls";""
"Sextans";"Sekstants"
"Sham";""
"Shaula";""
"Sheat";"Reja"
"Shedir";""
"Sheep";"Aita"
"Sheepfold";"Aitu aploks"
"Sheliak";"Selkisa"
"Sheratan";"Sekstants"
"Show: ";"Parādīt: "
"Shows: ";"Parādīt: "
"Shravan";""
"Shut Down: ";"Parādīt: "
"Shwan";""
"Sidereal";""
"Sinope";""
"Sirius";"Cirkulis"
"Situla";"Bulta"
"Size: ";"Izmērs: "
"Skat";"Saturns"
"Sky Culture: ";"Debesu kultūra: "
"Sky Language: ";"Debesu valoda: "
"Sky Support";""
"Sky Time At Start-up: ";"Debess laiks sākumā: "
"Sky Time: ";"Debesu laiks: "
"Small Solar System Bodies";"Saules sistēmas objekts: "
"Snake";""
"Solar System Body: ";"Saules sistēmas objekts: "
"Solar System Observer";"Saules sistēmas novērtotājs"
"Soldiers Market";"Karavīru Tirgus"
"South River";"Dienvidu Upe"
"South star";"Dienvidu Upe"
"Southern Ring Nebula";""
"Spacecraft";""
"Spear";"Šķēps"
"Spectral Type: ";"Spektra klase: "
"Spica";"Šķēps"
"Spiral Galaxy Coma";""
"Spiral Galaxy Leo";""
"Spirograph Nebula";""
"Spring";"Spirāle"
"Square Granary";"Klēts"
"Sravan";""
"Star";"Zvaigzne"
"Star Labels";"Zvaigznes"
"Star Labels. Up to mag :";"Nosaukt līdz zvaigžņlielumam :"
"Star Size Limit: ";""
"Star Twinkle. Amount :";"Zvaigžņu mirgošanas apmērs :"
