"%s: Bad command line argument(s)\n";"%s: Pogrešni argument(i) u komandnoj liniji\n"
"Search for (eg. Saturn, Polaris, HP6218, Orion, M31):";"Traži (npr. Saturn, Sjevernjača, HP6218, Orion, M31):"
"Search for Object";""
"Seconds";"Sekunde"
"Seginus";""
"Sek";""
"Select Object";""
"Select and exit to run.";"Odaberite i izađite za izvođenje."
"Selected : ";"Odabrano: "
"Selected Constellation Only";"Samo odabrana zviježđa"
"Selkis";""
"Serpens";"Zmija"
"Set Location ";"Postavi lokaciju "
"Set Time ";"Postavi vrijeme "
"Set Time Zone: ";"Postavi vremensku zonu: "
"Set UI Locale: ";"Postavi lokalizaciju korisničkog sučelja: "
"Setebos";""
"Seven Excellencies";""
"Seven Little Girls";""
"Sextans";"Sekstant"
"Sham";""
"Shaula";""
"Sheat";""
"Shedir";""
"Sheep";"Ovca"
"Sheepfold";""
"Sheliak";""
"Sheratan";""
"Show: ";"Prikaži: "
"Shows: ";"Prikaži: "
"Shravan";""
"Shut Down: ";"Prekini: "
"Shwan";""
"Sidereal";"Siderički"
"Sinope";""
"Sirius";""
"Situla";""
"Size: ";"Veličina "
"Skat";""
"Sky Culture: ";"Kultura (za zviježđa): "
"Sky Language: ";"Jezik zviježđa: "
"Sky Support";""
"Sky Time At Start-up: ";"Zvjezdano vrijeme na početku: "
"Sky Time: ";"Zvjezdano vrijeme "
"Small Solar System Bodies";""
"Snake";""
"Solar System Body: ";"Tijelo Sunčevog sustava: "
"Solar System Observer";"Promatrač Sunčevog sustava"
"Soldiers Market";""
"South River";"Južna rijeka"
"South star";""
"Southern Ring Nebula";""
"Spacecraft";""
"Spear";""
"Spectral Type: ";"Spektralni tip: "
"Spica";""
"Spiral Galaxy Coma";""
"Spiral Galaxy Leo";""
"Spirograph Nebula";""
"Spring";""
"Square Granary";""
"Sravan";""
"Star";""
"Star Labels";""
"Star Labels. Up to mag :";""
"Star Size Limit: ";""
"Star Twinkle. Amount :";"Treperenje zvijezda :"
"Star Value Multiplier: ";"Množitelj zvjezdanih vrijednosti: "
"Stars";"Zvijezde"
"Stars ";"Zvijezde "
"Stars Forming M33";""
"Stars Forming SMC";""
"Stars of Water";"Zvijezde vode"
"Stephano";""
"Stomach";""
"Stop Time";""
"Sualocin";""
"Subra";""
"Suhail";""
"Sulafat";""
"Sun";"Sunce"
"Supernova Remnant";""
"Supreme Palace";""
"Swati";""
"Sycorax";""
"Synchronize Internal Drive from USB Drive: ";""
"Syrma";""
"Tail";"Rep"
"Take Screenshot";""
"Talitha";""
"Tania Australis";""
"Tania Borealis";""
"Tarantula Nebula";""
"Tarazed";""
"Taurus";"Bik"
"Taygeta";""
"Tegmine";""
"Tejat";""
"Telescopium";"Teleskop"
"Tethys";"Tetis"
"Text Menu";""
"Thackerays Globules";""
"Thalassa";""
"The Asar Battlefield";""
"The Fishermen";""
"The Garnet Star";""
"The One Behind";""
"The Runner";""
"The Seven";""
"The Ski Runners";""
"Thebe";""
"Three Stars";"Tri zvijezde"
"Three Steps";"Tri koraka"
"Thuban";""
"Thunder and Lightning";""
"Thunderbird";""
"Thunderbolt";""
"Time Display Format: ";"Format prikaza vremena: "
"Time Zone :";"Vremenska zona:"
"Time and Date:";""
"Time speed : ";"Brzina vremena: "
"Titania";""
"Toad";"Sabljarka"
